task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,category,type,value,additionals,max_rank
vbs23-kis-v1,vitrivr-VR,0,1673259638599,30286,171058.0,inf,inf,inf,mlclip,TEXT,man in a sports hall doing a backflip,,
vbs23-kis-v1,vitrivr-VR,0,1673259676512,68199,171058.0,4441.0,inf,inf,visualtextcoembedding,TEXT,man in a sports hall doing a backflip,,
vbs23-kis-v1,vitrivr-VR,1,1673259678971,70658,171058.0,inf,inf,inf,mlclip,TEXT,man in blue shirt doing backflip,,
vbs23-kis-v1,vitrivr-VR,0,1673259716531,108218,171058.0,74.0,834.0,834.0,mlclip,TEXT,man wearing american flag in a sports hall doing a backflip,,
vbs23-kis-v1,vitrivr-VR,0,1673259745302,136989,171058.0,62.0,189.0,189.0,mlclip,TEXT,a man in a white shirt and blue pants dancing in a sports hall,,
vbs23-kis-t1,vitrivr-VR,0,1673260399966,32105,213029.0,3.0,7.0,7.0,mlclip,TEXT,children en cayaks in a river throwing paddles,,
vbs23-kis-t1,vitrivr-VR,1,1673260403786,35925,213029.0,534.0,534.0,534.0,mlclip,TEXT,children in kaya on the river,,
vbs23-kis-t1,vitrivr-VR,1,1673260407137,39276,213029.0,534.0,534.0,534.0,mlclip,TEXT,children in kaya on the river,,
vbs23-kis-t1,vitrivr-VR,1,1673260419456,51595,213029.0,7.0,7.0,7.0,mlclip,TEXT,children in kayaks on the river,,
vbs23-kis-t1,vitrivr-VR,0,1673260457449,89588,213029.0,2.0,8.0,8.0,mlclip,TEXT,children  in cayaks in a river with coloured hoops,,
vbs23-kis-t1,vitrivr-VR,0,1673260468105,100244,213029.0,2.0,8.0,8.0,mlclip,TEXT,children  in cayaks in a river with coloured hoops,,
vbs23-kis-t1,vitrivr-VR,1,1673260496750,128889,213029.0,inf,inf,inf,mlclip,TEXT, with hoops,,
vbs23-kis-t1,vitrivr-VR,1,1673260516184,148323,213029.0,16.0,123.0,123.0,mlclip,TEXT, kayaks with hoops,,
vbs23-kis-t1,vitrivr-VR,0,1673260542021,174160,213029.0,11.0,11.0,11.0,mlclip,TEXT,children in red cayaks with red paddles,,
vbs23-kis-t3,vitrivr-VR,0,1673261440808,44509,93212.0,4.0,inf,inf,mlclip,TEXT,looking up through a glass lift roof,,
vbs23-kis-t3,vitrivr-VR,0,1673261459409,63110,93212.0,51.0,inf,inf,mlclip,TEXT,the glass roof of an elevator,,
vbs23-kis-t3,vitrivr-VR,1,1673261485188,88889,93212.0,981.0,inf,inf,mlclip,TEXT,glass  elevator,,
vbs23-kis-t5,vitrivr-VR,0,1673262879500,57888,178934.0,inf,inf,inf,mlclip,TEXT,party grouped around bride and groom > guests following the bride and groom,,
vbs23-kis-t5,vitrivr-VR,1,1673262883410,61798,178934.0,1865.0,inf,inf,mlclip,TEXT,wedding party,,
vbs23-kis-t5,vitrivr-VR,1,1673262921973,100361,178934.0,1117.0,inf,inf,mlclip,TEXT,wedding party > bride and groom,,
vbs23-kis-t5,vitrivr-VR,1,1673262938413,116801,178934.0,104.0,inf,inf,mlclip,TEXT,wedding party > bride with blue flowers and groom,,
vbs23-kis-t5,vitrivr-VR,0,1673262949421,127809,178934.0,1207.0,inf,inf,mlclip,TEXT,guests following the bride and groom,,
vbs23-kis-t5,vitrivr-VR,1,1673262956695,135083,178934.0,3.0,inf,inf,mlclip,TEXT,bride with blue flowers and groom,,
vbs23-kis-t5,vitrivr-VR,0,1673262994555,172943,178934.0,179.0,inf,inf,mlclip,TEXT,a bride wearing a blue bow around her waist > guests following the bride and groom,,
vbs23-kis-t6,vitrivr-VR,0,1673264197574,39200,53439.0,3.0,4.0,4.0,mlclip,TEXT,a train passing behind tombstones,,
vbs23-kis-v-m1,vitrivr-VR,0,1673270888331,18476,37829.0,105.0,105.0,105.0,mlclip,TEXT,a ship wreck with fish,,
vbs23-kis-v-m1,vitrivr-VR,1,1673270890189,20334,37829.0,99.0,128.0,128.0,mlclip,TEXT,a shipwreck with fish,,
vbs23-kis-v-m2,vitrivr-VR,0,1673271265163,19801,269657.0,97.0,97.0,97.0,mlclip,TEXT,a diver in the yellow vest,,
vbs23-kis-v-m2,vitrivr-VR,0,1673271312753,67391,269657.0,261.0,959.0,959.0,mlclip,TEXT,a divers surounded by bubbles,,
vbs23-kis-v-m2,vitrivr-VR,0,1673271391069,145707,269657.0,261.0,959.0,959.0,mlclip,TEXT,a divers surounded by bubbles,,
vbs23-kis-v-m2,vitrivr-VR,0,1673271411198,165836,269657.0,12.0,12.0,12.0,mlclip,TEXT,a diver in a yellow vest on a line,,
